exchange,chain,block_height,ts,address,contract_name,contract_address,contract_ticker_symbol,balance
bybit,ethereum,14730462,2022-05-07 14:59:39,0xf89d7b9c864f589bbf53a82105107622b35eaa40,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,36102.27743
bybit,ethereum,14730462,2022-05-07 14:59:39,0x4230c402c08cb66dcf3820649a115e54661fce9d,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,35875.3642
binance,ethereum,14730462,2022-05-07 14:59:39,0xb2239d8a8e34a761b4c3a83b8a6d39579e607d22,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,35629.85125
gate,ethereum,14730462,2022-05-07 14:59:39,0x4bba5f077a8fcfaf8d6d07c6cfbce553e2d94c9c,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,31684.42056
gate,ethereum,14730462,2022-05-07 14:59:39,0xf0e3c4dff28283d73374b16c05c95c3f0af80bea,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,29852.99
gate,ethereum,14730462,2022-05-07 14:59:39,0x96a971d4225307ba58936821a8f469a64ce66553,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,25835.84559
binance,ethereum,14730462,2022-05-07 14:59:39,0xd2aa6e1fb2b3cddf18adb3dfa4f3ea274d589893,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,20017.9
gate,ethereum,14730462,2022-05-07 14:59:39,0xd3d7932195e9b00c2a0daba718a1404877aa9a57,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,20000
gate,ethereum,14730462,2022-05-07 14:59:39,0x43b228a072fac26777317c09c13a913d74359a00,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,17560.15
gate,ethereum,14730462,2022-05-07 14:59:39,0x00625b1a8b710dead148118b176f15c367eadf3d,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,16552.31191
gate,ethereum,14730462,2022-05-07 14:59:39,0xe5397ef876199a47404a1ae0a721556f9af060b9,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,16342.2414
binance,ethereum,14730462,2022-05-07 14:59:39,0xd3274226acb46c0aca5752d683791d4fffd34266,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,15457.345
bitrue,ethereum,14730462,2022-05-07 14:59:39,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,13666.15156
binance,ethereum,14730462,2022-05-07 14:59:39,0xa230ef6a14fbfa530611c1ae933401ea9e061bb9,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,13259.47082
gate,ethereum,14730462,2022-05-07 14:59:39,0x7c622e0b21ced29facb15c0aba05cd139a3dc20d,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,12452.1
binance,ethereum,14730462,2022-05-07 14:59:39,0x0119d1855a270e9c94cb3265be507d10a8f2c7bd,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,12255.69511
gate,ethereum,14730462,2022-05-07 14:59:39,0xd25c76bfaaad60565b63a11d3d47b13cf676d1e6,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,12079.83426
gate,ethereum,14730462,2022-05-07 14:59:39,0x7e11a483901025c23406e612ca2d00a045644c1c,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,10500
binance,ethereum,14730462,2022-05-07 14:59:39,0x2bbfb5d55f8d2ae4e573c946563dd638442a3bad,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,10418.5
gate,ethereum,14730462,2022-05-07 14:59:39,0xbc5c232763b956c1f74430139d0a98884a2637f3,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,10100
gate,ethereum,14730462,2022-05-07 14:59:39,0x3436e57cbe5237b6ab798db98e98252e7d5650bc,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,10000
gate,ethereum,14730462,2022-05-07 14:59:39,0xed121cdcb9ab36db7a2c381ff4f05906a97d36a9,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,9984.1
binance,ethereum,14730462,2022-05-07 14:59:39,0xb1f3d12c9c5a87229934272370d1eebf39d6efed,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,9961.83
