height,address,token,amt
7544910,cre105us25k0yfm9ayejn7fhswcfvrw7lge8q2hqm5,UST,541.612351
7544910,cre105usu05clhzc245eu3kvz5lsacxng0a80d0j89,LUNA,0.634165
7544910,cre105usu05clhzc245eu3kvz5lsacxng0a80d0j89,UST,53.601617
7544910,cre105v38cuhcj783d284qu2w8k6m0ddzg25ljld4v,UST,2.247394
7544910,cre105ytzzer2c6h63tfy9cu8x6sajclzzaxm6jy97,UST,0.180683
7544910,cre105ytzzer2c6h63tfy9cu8x6sajclzzaxm6jy97,LUNA,17.369549
7544910,cre105z2e5l2dftj05wak2el6xmlasvglmshgsv6ya,UST,1.304984
7544910,cre105zfeugf9n39gk2xnunknqzdqyxlarh7ejcjnw,UST,0.000575
7544910,cre1060t4vlql9ngh4jj4h67nsyu4lmljyd8d2s3hl,LUNA,1.907732
7544910,cre1066aprw584yncwdadhqay9ptler9yjnyxqa08x,UST,99.504982
7544910,cre1068jfs4mhwwtscyxzcgcgugs2qqfm4539srt80,UST,465.86989
7544910,cre106j0glx8xwr0wdv4n5hlgl2ldt2ucpjfrz8jnu,LUNA,1.844867
7544910,cre106j0y9xu8hylaqatcpjuara9e50yrwge9x57rl,UST,0.001563
7544910,cre106pjuzhqqjv8euzumepsjynaatd804qzp9qywq,LUNA,0.156247
7544910,cre106pjuzhqqjv8euzumepsjynaatd804qzp9qywq,UST,0.000253
7544910,cre106pu65mnndcvjfr0rzmw99usl6scfedhe9xnx2,UST,434.178073
7544910,cre106rfmtx9khu9rlu3yvrallmj58yczhtg7fsrmc,UST,245.81688
7544910,cre106t4pmer5d95nmxkge5kz3ek38352lvmjc52vm,UST,1.959837
7544910,cre106t4pmer5d95nmxkge5kz3ek38352lvmjc52vm,LUNA,0.534893
7544910,cre106v0dgp92mwgerjph7aw84wwkutzuq4zl34ce6,LUNA,0.415825
7544910,cre106v0dgp92mwgerjph7aw84wwkutzuq4zl34ce6,UST,28.882951
7544910,cre106vsy4hdpwj7npswguverxk444t24jw53jr46h,UST,0.067705
7544910,cre106w9m8qmwxfg49ncpwr092gydge593fwtzpewz,UST,0.011235
7544910,cre106ymhxaq5xkc0hv5txmg0rx8tnx9xy7rvz92mc,LUNA,1.833978
7544910,cre106znf3t0v7884j9hlutv46gslryjcp2czjy60e,UST,49419.232651
7544910,cre1070m4eng3r9dfz58g4gytce9s8z6kre29aes2d,LUNA,1.544118
7544910,cre1075dxegs6gen4uy6zd4mmprxdhayja20xus8um,UST,0.942787
7544910,cre1075dxegs6gen4uy6zd4mmprxdhayja20xus8um,LUNA,0.839609
7544910,cre10772dpnsy5j7a3m8c8xex0wmjuxgvgkc4v45tx,LUNA,0.564287
7544910,cre10772dpnsy5j7a3m8c8xex0wmjuxgvgkc4v45tx,UST,46.688686
7544910,cre107e4c56a7cjch7t506rn8c6qm8e7vl7geukzac,UST,183.575707
7544910,cre107gl8kttg2flv67d5ecdjumvpz9349lymjv56v,UST,2.238039
7544910,cre107n5mm03l4h6vzvxl5a8c0ly5gucekht593e6n,LUNA,9.014916
7544910,cre107n5mm03l4h6vzvxl5a8c0ly5gucekht593e6n,UST,82.23274
7544910,cre107n8x8n68trxkyh07wyhn3rurvv9cgpxlnxtuk,UST,6.806676
7544910,cre107pcp0f2xuahdzfkfahtl5kjvy09defttwtnwh,UST,0.280104
7544910,cre107pd463pqyrg89duxlgt30gpph9saaefgc28gk,UST,0.024011
7544910,cre107t3km9mthl93axtpqfsfavkguk7333tvnc8xl,UST,619.119831
7544910,cre107tn5s5nsznzvczjf76qhsq2fwwe6j9z7vr237,UST,2436.605584
7544910,cre107tn5s5nsznzvczjf76qhsq2fwwe6j9z7vr237,LUNA,67.959915
